,base,cf,cont,delim,epos,extent,form,gdl,gw,id_text,id_word,label,lang,morph,norm,norm0,pos,scope,sense,state,lemma,id_line
0,nin,nin,, ,N,,nin,"[{'v': 'nin', 'id': 'P357170.3.1.0'}]",lady,niektest/P357170,P357170.3.1,o 1,sux,~,,nin,N,,lady,,nin[lady]N,3
1,nun,nun,, ,N,,nun,"[{'v': 'nun', 'id': 'P357170.3.2.0'}]",prince,niektest/P357170,P357170.3.2,o 1,sux,~,,nun,N,,prince,,nun[prince]N,3
2,gal,gal,, ,V/i,,gal-e-ne,"[{'v': 'gal', 'id': 'P357170.3.3.0', 'delim': '-'}, {'v': 'e', 'id': 'P357170.3.3.1', 'delim': '-'}, {'v': 'ne', 'id': 'P357170.3.3.2'}]",big,niektest/P357170,P357170.3.3,o 1,sux,"~;*a,ene",,"gal;*a,ene",V/i,,big,,gal[big]V/i,3
3,saŋ,saŋ,, ,N,,saŋ,"[{'v': 'saŋ', 'id': 'P357170.3.4.0'}]",head,niektest/P357170,P357170.3.4,o 1,sux,~,,saŋ,N,,head,,saŋ[head]N,3
4,il₂,il,, ,V/t,,il₂,"[{'v': 'il₂', 'id': 'P357170.3.5.0'}]",raise,niektest/P357170,P357170.3.5,o 1,sux,~,,il,V/t,,raise,,il[raise]V/t,3
5,dirig,dirig,-ga=g.a, ,V/i,,dirig-ga,"[{'v': 'dirig', 'id': 'P357170.3.6.0', 'delim': '-'}, {'v': 'ga', 'id': 'P357170.3.6.1', 'breakStart': '1', 'o': '[', 'break': 'missing'}]",exceed,niektest/P357170,P357170.3.6,o 1,sux,~;a,,dirig;a,V/i,,exceed,,dirig[exceed]V/i,3
6,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.3.7.0', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.3.6.1'}]",,niektest/P357170,P357170.3.7,o 1,sux,,,,u,,,,x[NA]NA,3
7,{d}inana,Inanak,, ,DN,,{d}inana,"[{'det': 'semantic', 'pos': 'pre', 'seq': [{'v': 'd', 'id': 'P357170.4.1.0'}]}, {'v': 'inana', 'id': 'P357170.4.1.1'}]",1,niektest/P357170,P357170.4.1,o 2,sux,~,,Inanak,DN,,1,,Inanak[1]DN,4
8,kur-kur,kur,, ,N,,kur-kur,"[{'v': 'kur', 'id': 'P357170.4.2.0', 'delim': '-'}, {'v': 'kur', 'id': 'P357170.4.2.1'}]",mountain,niektest/P357170,P357170.4.2,o 2,sux,~,,kur,N,,(foreign)-land,,kur[mountain]N,4
9,uŋ₃,uŋ,, ,N,,uŋ₃,"[{'v': 'uŋ₃', 'id': 'P357170.4.3.0'}]",people,niektest/P357170,P357170.4.3,o 2,sux,~,,uŋ,N,,people,,uŋ[people]N,4
